DATAFLOW,LAST UPDATE,freq,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2012,4.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2013,4.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2014,4.8,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2015,5.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2016,5.7,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2017,5.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2018,4.2,u
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2019,3.6,u
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2020,4.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2021,5.1,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2022,4.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT11,2023,5.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2012,4.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2013,5.0,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2014,5.1,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2015,5.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2016,5.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2017,4.8,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2018,3.8,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2019,4.0,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2020,4.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2021,5.1,b
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2022,3.9,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT12,2023,4.3,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2012,8.9,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2013,9.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2014,10.2,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2015,10.6,
ESTAT:TGS00010(1.0),12/09/24 23:00:00,A,TOTAL,T,Y_GE15,PC,AT13,2016,11.3,
