,country.x,country_code.x,nutslevel.x,nuts2.x,regionname.x,type.x,year.x,party_abbreviation,party_english,party_native,partyfacts_id,partyvote.x,electorate.x,totalvote.x,validvote.x,uniqueid,left_right.x
1,Austria,AT,2,AT11,Burgenland,EP,2019,EUROPA,,,,1011,234609,155364,151958,BurgenlandEUROPA,
2,Austria,AT,2,AT11,Burgenland,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,26649,234609,155364,151958,BurgenlandFPO,8.3494
3,Austria,AT,2,AT11,Burgenland,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,11819,234609,155364,151958,BurgenlandGRUNE,2.4604
4,Austria,AT,2,AT11,Burgenland,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,7861,234609,155364,151958,BurgenlandNEOS,6
5,Austria,AT,2,AT11,Burgenland,EP,2019,OTHER,,,,663,234609,155364,151958,BurgenlandOTHER,
6,Austria,AT,2,AT11,Burgenland,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,53809,234609,155364,151958,BurgenlandOVP,6.4733
7,Austria,AT,2,AT11,Burgenland,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,50146,234609,155364,151958,BurgenlandSPO,3.7293
8,Austria,AT,2,AT12,Niederösterreich,EP,2019,EUROPA,,,,7811,1295527,870508,853764,NiederösterreichEUROPA,
9,Austria,AT,2,AT12,Niederösterreich,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,152023,1295527,870508,853764,NiederösterreichFPO,8.3494
10,Austria,AT,2,AT12,Niederösterreich,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,89730,1295527,870508,853764,NiederösterreichGRUNE,2.4604
11,Austria,AT,2,AT12,Niederösterreich,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,66318,1295527,870508,853764,NiederösterreichNEOS,6
12,Austria,AT,2,AT12,Niederösterreich,EP,2019,OTHER,,,,5037,1295527,870508,853764,NiederösterreichOTHER,
13,Austria,AT,2,AT12,Niederösterreich,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,342105,1295527,870508,853764,NiederösterreichOVP,6.4733
14,Austria,AT,2,AT12,Niederösterreich,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,190740,1295527,870508,853764,NiederösterreichSPO,3.7293
15,Austria,AT,2,AT13,Wien,EP,2019,EUROPA,,,,10573,1157681,679709,673653,WienEUROPA,
16,Austria,AT,2,AT13,Wien,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,97010,1157681,679709,673653,WienFPO,8.3494
17,Austria,AT,2,AT13,Wien,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,140334,1157681,679709,673653,WienGRUNE,2.4604
18,Austria,AT,2,AT13,Wien,EP,2019,KPO,communist party of austria,kommunistische partei osterreichs,996,8470,1157681,679709,673653,WienKPO,
19,Austria,AT,2,AT13,Wien,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,69014,1157681,679709,673653,WienNEOS,6
20,Austria,AT,2,AT13,Wien,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,144073,1157681,679709,673653,WienOVP,6.4733
21,Austria,AT,2,AT13,Wien,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,204179,1157681,679709,673653,WienSPO,3.7293
22,Austria,AT,2,AT21,Kärnten,EP,2019,EUROPA,,,,2134,439039,228553,224383,KärntenEUROPA,
23,Austria,AT,2,AT21,Kärnten,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,48400,439039,228553,224383,KärntenFPO,8.3494
24,Austria,AT,2,AT21,Kärnten,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,22160,439039,228553,224383,KärntenGRUNE,2.4604
25,Austria,AT,2,AT21,Kärnten,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,17259,439039,228553,224383,KärntenNEOS,6
26,Austria,AT,2,AT21,Kärnten,EP,2019,OTHER,,,,1411,439039,228553,224383,KärntenOTHER,
27,Austria,AT,2,AT21,Kärnten,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,64841,439039,228553,224383,KärntenOVP,6.4733
28,Austria,AT,2,AT21,Kärnten,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,68178,439039,228553,224383,KärntenSPO,3.7293
29,Austria,AT,2,AT22,Steiermark,EP,2019,EUROPA,,,,4785,966119,547867,542211,SteiermarkEUROPA,
30,Austria,AT,2,AT22,Steiermark,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,107040,966119,547867,542211,SteiermarkFPO,8.3494
31,Austria,AT,2,AT22,Steiermark,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,71922,966119,547867,542211,SteiermarkGRUNE,2.4604
32,Austria,AT,2,AT22,Steiermark,EP,2019,KPO,communist party of austria,kommunistische partei osterreichs,996,4350,966119,547867,542211,SteiermarkKPO,
33,Austria,AT,2,AT22,Steiermark,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,42553,966119,547867,542211,SteiermarkNEOS,6
34,Austria,AT,2,AT22,Steiermark,EP,2019,OTHER,,,,1617,966119,547867,542211,SteiermarkOTHER,
35,Austria,AT,2,AT22,Steiermark,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,193772,966119,547867,542211,SteiermarkOVP,6.4733
36,Austria,AT,2,AT22,Steiermark,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,116172,966119,547867,542211,SteiermarkSPO,3.7293
37,Austria,AT,2,AT31,Oberösterreich,EP,2019,EUROPA,,,,5725,1108448,688278,676208,OberösterreichEUROPA,
38,Austria,AT,2,AT31,Oberösterreich,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,122263,1108448,688278,676208,OberösterreichFPO,8.3494
39,Austria,AT,2,AT31,Oberösterreich,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,90427,1108448,688278,676208,OberösterreichGRUNE,2.4604
40,Austria,AT,2,AT31,Oberösterreich,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,47097,1108448,688278,676208,OberösterreichNEOS,6
41,Austria,AT,2,AT31,Oberösterreich,EP,2019,OTHER,,,,4364,1108448,688278,676208,OberösterreichOTHER,
42,Austria,AT,2,AT31,Oberösterreich,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,237585,1108448,688278,676208,OberösterreichOVP,6.4733
43,Austria,AT,2,AT31,Oberösterreich,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,168747,1108448,688278,676208,OberösterreichSPO,3.7293
44,Austria,AT,2,AT32,Salzburg,EP,2019,EUROPA,,,,2468,396227,229112,226007,SalzburgEUROPA,
45,Austria,AT,2,AT32,Salzburg,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,32845,396227,229112,226007,SalzburgFPO,8.3494
46,Austria,AT,2,AT32,Salzburg,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,31866,396227,229112,226007,SalzburgGRUNE,2.4604
47,Austria,AT,2,AT32,Salzburg,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,18646,396227,229112,226007,SalzburgNEOS,6
48,Austria,AT,2,AT32,Salzburg,EP,2019,OTHER,,,,1657,396227,229112,226007,SalzburgOTHER,
49,Austria,AT,2,AT32,Salzburg,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,97376,396227,229112,226007,SalzburgOVP,6.4733
50,Austria,AT,2,AT32,Salzburg,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,41149,396227,229112,226007,SalzburgSPO,3.7293
51,Austria,AT,2,AT33,Tirol,EP,2019,EUROPA,,,,2961,543532,289387,286765,TirolEUROPA,
52,Austria,AT,2,AT33,Tirol,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,43487,543532,289387,286765,TirolFPO,8.3494
53,Austria,AT,2,AT33,Tirol,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,46782,543532,289387,286765,TirolGRUNE,2.4604
54,Austria,AT,2,AT33,Tirol,EP,2019,NEOS,neos  the new austria,neos - das neue osterreich,1970,25285,543532,289387,286765,TirolNEOS,6
55,Austria,AT,2,AT33,Tirol,EP,2019,OTHER,,,,1681,543532,289387,286765,TirolOTHER,
56,Austria,AT,2,AT33,Tirol,EP,2019,OVP,austrian people's party,osterreichische volkspartei,1329,122240,543532,289387,286765,TirolOVP,6.4733
57,Austria,AT,2,AT33,Tirol,EP,2019,SPO,social democratic party of austria,sozialdemokratische partei osterreichs,1384,44329,543532,289387,286765,TirolSPO,3.7293
58,Austria,AT,2,AT34,Vorarlberg,EP,2019,EUROPA,,,,1771,274995,145884,144815,VorarlbergEUROPA,
59,Austria,AT,2,AT34,Vorarlberg,EP,2019,FPO,freedom party of austria,freiheitliche partei osterreichs,463,20397,274995,145884,144815,VorarlbergFPO,8.3494
60,Austria,AT,2,AT34,Vorarlberg,EP,2019,GRUNE,the greens -- the green alternative,die grunen - die grune alternative,1659,27153,274995,145884,144815,VorarlbergGRUNE,2.4604
