geo,purchasing_power_standard_per_inhabitant,real_labour_productivity_per_person_employed_2019_base_year,raw_milk_on_farms,pop_density_per_square_km,net_migration_per_capita,count_of_all_crime_per_100k,average_age_for_people_above_18,F:M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ,fertility_rate,poverty_rate,life_expectancy,gender_employment_gap_proportion
AT11,27600.0,101.5,28.05,77.8,0.0031619417511520136,1315.8,51.76665030605167,1.0562594356540524,6390.49,27500.0,71.9,0.2993503248375812,1.39,0.146,81.9,0.102
AT12,33000.0,104.2,741.6,88.9,0.0009805303118086918,1778.0800000000002,50.5858412272613,1.0507012697547038,36941.78,29300.0,74.4,0.3125,1.5,0.125,81.7,0.08900000000000001
AT13,46200.0,99.9,0.0,4808.9,0.006671441392870902,4783.99,47.12989339263753,1.076611702683712,37613.67,26700.0,67.1,0.4065,1.35,0.275,81.1,0.08
AT21,33700.0,104.8,234.6,59.9,0.0014490752323964614,1717.66,51.42289388793663,1.0724173385050548,11549.33,26200.0,72.2,0.2985,1.4,0.174,82.2,0.10800000000000001
AT22,36000.0,103.3,577.48,76.6,0.0011472106643096406,1703.95,50.138547911587985,1.0418278657856952,26104.08,27400.0,74.7,0.2918540729635183,1.41,0.17600000000000002,82.2,0.092
AT31,40300.0,103.5,1191.36,126.8,0.0013606315129729848,1771.6,49.404391421340435,1.0307211301758699,31861.52,29200.0,77.1,0.3065,1.6,0.11599999999999999,82.3,0.08
AT32,47000.0,104.2,389.53,78.9,0.0019257396437073362,2666.86,49.2663882331578,1.0653520643082748,12045.52,29700.0,77.2,0.3151575787893947,1.58,0.14400000000000002,82.8,0.079
AT33,42100.0,101.1,430.74,60.4,0.0014262824444412905,2200.7400000000002,48.74624138978198,1.046640183627431,15835.85,29100.0,76.5,0.288855572213893,1.46,0.163,83.0,0.086
AT34,42000.0,100.6,188.0,156.3,0.002902499604318689,2213.31,48.72925762819485,1.030152774055213,8792.0,31900.0,77.1,0.273,1.68,0.21899999999999997,83.3,0.10300000000000001
BE10,63400.0,101.2,0.0,7526.7,0.005464543824555312,7674.9,45.533341736509165,1.0607694915403478,21299.83,24600.0,56.9,0.4395,1.7066,0.37799999999999995,81.6,0.114
BE21,43400.0,100.2,825.93,665.8,0.001540632836808397,3427.34,49.765002675173385,1.0306437748298214,36594.23,28300.0,69.3,0.37799999999999995,1.66272,0.162,83.0,0.102
BE22,29700.0,99.9,360.58,367.5,0.0009583029657830071,2162.39,50.49302148969232,1.0198306456634083,16667.57,26000.0,68.1,0.35150000000000003,1.49946,0.129,83.3,0.062
BE23,33500.0,98.9,743.66,512.3,0.0009372659638132691,2823.01,49.93563169087757,1.040696120488046,31176.12,30000.0,71.5,0.3925,1.5072,0.132,82.6,0.07
BE24,39900.0,100.8,145.73,544.7,0.0029688592885021656,2774.62,49.9745821253602,1.0611290154901758,25314.58,33800.0,70.1,0.4640000000000001,1.6009,0.106,83.4,0.052000000000000005
BE25,35700.0,101.1,897.27,380.8,0.000486022040391757,2602.44,51.709228499967935,1.0314637737503412,24247.39,27700.0,72.4,0.3585,1.58463,0.114,83.2,0.084
BE31,49600.0,119.6,48.74,369.7,0.006577287456402899,3208.5,49.59158367933069,1.0901355883542785,8423.87,31500.0,65.2,0.518,1.55482,0.16,83.0,0.063
BE32,22800.0,99.9,385.32,354.8,0.0004654718712797223,4361.39,49.38587213898483,1.0820856763511402,22299.43,20900.0,55.7,0.3005,1.6254,0.295,79.6,0.069
BE33,26100.0,100.1,537.63,289.7,0.0006776580412374029,4793.32,49.271445130718845,1.0621608991284437,18998.66,22700.0,59.0,0.35,1.62042,0.253,80.6,0.08199999999999999
BE34,22500.0,100.5,165.13,64.6,0.0006396156860752567,2782.15,48.405734651910734,1.0182304326689353,5180.69,25000.0,65.3,0.3785,1.76202,0.18100000000000002,80.6,0.079
BE35,24500.0,99.4,182.91,135.9,0.001902231086838646,3435.16,49.13141935124909,1.0576165522696406,8742.37,24700.0,60.8,0.3551775887943972,1.53616,0.20600000000000002,80.3,0.051
BG31,10100.0,116.4,120.0,39.0,-0.0015021167933892336,672.1,53.529044448294925,1.0770053365963004,5172.02,3300.0,60.2,0.1815,1.90808,0.413,73.7,0.075
BG32,11100.0,109.7,119.0,53.1,-0.0007277379584389828,539.8100000000001,52.9067078033158,1.1042318609159278,5990.88,3900.0,69.8,0.2535,1.77018,0.359,74.6,0.086
BG33,12900.0,109.1,142.0,63.7,0.0007210240859147457,763.06,51.06439041472104,1.0909684086211986,6828.11,3800.0,67.7,0.21760880440220112,1.83009,0.34700000000000003,75.0,0.155
BG34,12600.0,105.0,163.0,52.5,0.00017084720801972326,723.59,51.46934931098271,1.0970493582011724,7663.73,3700.0,69.8,0.20160080040020006,2.15573,0.366,74.5,0.1
BG41,27900.0,108.8,54.0,103.7,0.001445796548031847,950.81,49.67575740968337,1.1155284973006843,28664.37,8400.0,75.8,0.36950000000000005,1.53127,0.22699999999999998,76.0,0.054000000000000006
BG42,11600.0,111.1,224.0,63.7,0.0003608229799862477,391.75999999999993,51.62512168146546,1.1008325102299985,10778.85,3900.0,69.5,0.21300000000000005,1.87979,0.377,75.6,0.08900000000000001
CY00,29100.0,104.2,238.76,95.7,0.008911986427658896,216.92000000000002,46.49633916604037,1.0688925133893405,15554.51,16300.0,70.5,0.423711855927964,1.33,,82.3,0.11599999999999999
CZ01,64600.0,108.3,4.58,2714.3,0.01303422199671107,2404.34,48.77443798022003,1.0749629097315592,24014.69,16900.0,79.3,0.433,1.52,0.079,81.0,0.154
CZ02,26800.0,116.8,393.2,128.5,0.009949376776413608,772.35,49.03553939229273,1.0440177939882436,20723.46,13700.0,77.1,0.21850000000000003,1.76,0.096,79.4,0.138
CZ03,24500.0,110.0,708.66,71.8,0.002315131371619139,713.24,49.769033322592584,1.0343897518742364,16513.95,12000.0,75.4,0.19180819180819184,1.72,0.096,79.5,0.17300000000000001
CZ04,20100.0,102.9,103.92,131.7,0.0007871646429988598,876.58,49.382805981467456,1.0332871665232357,13855.3,11000.0,72.4,0.144072036018009,1.71,0.215,77.7,0.159
CZ05,23800.0,113.2,617.44,123.7,0.0007749722100667802,550.5899999999999,49.76347054777632,1.0436405588007134,20199.28,11800.0,74.8,0.1895,1.76,0.129,79.7,0.151
CZ06,26300.0,107.7,772.37,124.0,0.001705212809289909,703.79,49.6113568810281,1.0488675303461623,23390.25,12300.0,74.9,0.2455,1.77,0.125,79.9,0.152
CZ07,23600.0,110.1,367.51,133.2,5.4490217188159176e-05,504.2,49.92762410916768,1.0615301514505562,15481.0,11100.0,73.8,0.1895,1.67,0.129,79.3,0.165
CZ08,22800.0,102.2,188.12,226.2,-0.0011510023693196787,1019.94,49.56003152915383,1.0584034919052614,15041.78,10900.0,72.7,0.19309654827413708,1.66,0.149,77.9,0.11
DE11,48300.0,99.7,699.16,393.3,0.00020610614465184485,1251.49,49.91111512485207,1.0158355759590523,98339.91,34500.0,79.5,0.32,1.58,0.133,82.6,0.095
DE12,41700.0,102.8,162.91,409.3,0.0006059231688230257,1512.9099999999999,49.93083931053762,1.0260338451193545,63237.74,31900.0,77.8,0.30684657671164417,1.51,0.145,81.8,0.087
DE13,36200.0,102.8,398.26,244.9,0.00015615408791979732,1443.97,50.324614585876375,1.0437814500780567,52256.16,31600.0,79.5,0.28800000000000003,1.6,0.135,82.3,0.09
DE14,41200.0,104.9,1133.78,214.2,0.0003585549583211804,1147.1,49.92037090717224,1.025353279619615,43083.87,32700.0,79.8,0.29600000000000004,1.61,0.141,82.4,0.079
DE21,55300.0,101.7,2503.47,273.4,0.000417983884018174,1110.91,49.39789115988516,1.0359060253619685,124419.0,40500.0,81.2,0.37931034482758624,1.52,0.14800000000000002,82.8,0.08
DE22,36700.0,101.6,1005.9,121.0,0.00032741209942923645,831.3,50.352980326359365,1.004695841901507,27485.01,30400.0,80.1,0.21410705352676332,1.56,0.209,81.4,0.1
DE23,39700.0,101.1,1187.49,115.2,0.00029878835244970346,1000.49,50.171830203391686,1.0165308382430551,24157.1,30300.0,79.3,0.24550000000000005,1.59,0.17300000000000001,81.3,0.1
DE24,35700.0,103.5,632.02,147.8,0.0001848897746417829,964.52,51.39815015455916,1.043864168406591,22951.93,28500.0,79.8,0.245,1.52,0.187,81.2,0.052000000000000005
DE25,42400.0,103.9,768.89,245.7,0.0004744836509881039,1324.7800000000002,50.165086397154504,1.04604252270593,39793.05,31900.0,77.7,0.288,1.54,0.184,81.3,0.091
DE26,38000.0,102.2,212.15,155.1,0.0002133655941907838,883.2900000000001,51.007265715401495,1.0301770229097087,28955.44,30100.0,78.9,0.2698650674662669,1.56,0.175,82.1,0.086
DE27,37300.0,102.0,1994.42,191.5,0.00022181346259574517,947.7299999999999,50.322358140334565,1.0212084081981476,42885.69,31400.0,79.9,0.25987006496751625,1.63,0.163,82.1,0.102
DE30,38900.0,104.7,1.02,4322.9,0.004377438045053454,5004.74,48.7530684370762,1.0507003197038534,71150.95,26400.0,74.9,0.407703851925963,1.41,0.193,81.5,0.069
