,geo,pps_per_inhabitant_million_euros,available_hospital_beds_per_100k,real_labour_productivity_per_person_employed_2019_base_year,railway_km_per_square_km,raw_milk_on_farms,pop_density_per_square_km,percentage_of_population_at_risk_poverty,net_migration_per_capita,count_of_all_crime_per_100k,percentage_individuals_regularly_using_internet,average_age_for_people_above_18,F.M_ratio,disposable_income_avg,gross_income_per_capita,employment_rate,proportion_with_higher_educ
1,AT11,9222.79,587.21,101.5,NA,28.05,77.8,NA,2017,1315.8,78.39,51.76665031,1.056259436,6390.49,27500,72,0.2995
2,AT12,63009.7,671.36,104.2,NA,741.6,88.9,NA,9888,1778.08,87.77,50.58584123,1.05070127,36941.78,29300,74.45,0.31225
3,AT13,99781.12,751.91,99.9,NA,0,4808.9,NA,12659,4783.99,88.27,47.12989339,1.076611703,37613.67,26700,67.15,0.405851463
4,AT21,21442.25,803.93,104.8,NA,234.6,59.9,NA,1578,1717.66,83.75,51.42289389,1.072417339,11549.33,26200,72.25,0.298074519
5,AT22,50916.68,801.3,103.3,NA,577.48,76.6,NA,4861,1703.95,83.64,50.13854791,1.041827866,26104.08,27400,74.65,0.291927018
6,AT31,67961.27,676.7,103.5,NA,1191.36,126.8,NA,6818,1771.6,84.76,49.40439142,1.03072113,31861.52,29200,77.1,0.30675
7,AT32,29678.08,869.23,104.2,NA,389.53,78.9,NA,1750,2666.86,86.48,49.26638823,1.065352064,12045.52,29700,77.25,0.31525
8,AT33,36095.54,665.33,101.1,NA,430.74,60.4,NA,2972,2200.74,88.24,48.74624139,1.046640184,15835.85,29100,76.45,0.288822206
9,AT34,18899.89,529.42,100.6,NA,188,156.3,NA,1708,2213.31,87.52,48.72925763,1.030152774,8792,31900,77.05,0.273
10,BE10,87454.96,706.21,101.2,NA,0,7526.7,NA,6641,7674.9,88.13,45.53334174,1.060769492,21299.83,24600,56.9,0.43964009
11,BE21,91705.01,547.31,100.2,NA,825.93,665.8,NA,7271,3427.34,91.48,49.76500268,1.030643775,36594.23,28300,69.25,0.378594649
12,BE22,29540.63,481.2,99.9,NA,360.58,367.5,NA,2198,2162.39,90.78,50.49302149,1.019830646,16667.57,26000,68.05,0.352
13,BE23,57692.55,598.4,98.9,NA,743.66,512.3,NA,6332,2823.01,88.46,49.93563169,1.04069612,31176.12,30000,71.45,0.393
14,BE24,52010.44,402.85,100.8,NA,145.73,544.7,NA,6637,2774.62,93.76,49.97458213,1.061129015,25314.58,33800,70.15,0.4635
15,BE25,48494.07,658.29,101.1,NA,897.27,380.8,NA,3539,2602.44,88.85,51.7092285,1.031463774,24247.39,27700,72.35,0.358910272
16,BE31,22737.29,235.76,119.6,NA,48.74,369.7,NA,2659,3208.5,91.92,49.59158368,1.090135588,8423.87,31500,65.2,0.51725
17,BE32,34843.36,610.59,99.9,NA,385.32,354.8,NA,4208,4361.39,82.5,49.38587214,1.082085676,22299.43,20900,55.7,0.300325081
18,BE33,32794.78,571.76,100.1,NA,537.63,289.7,NA,2847,4793.32,88.19,49.27144513,1.062160899,18998.66,22700,59,0.350087522
19,BE34,7323.64,405.35,100.5,NA,165.13,64.6,NA,906,2782.15,88.1,48.40573465,1.018230433,5180.69,25000,65.25,0.379155211
20,BE35,13802.93,512.68,99.4,NA,182.91,135.9,NA,1761,3435.16,85.8,49.13141935,1.057616552,8742.37,24700,60.75,0.355177589
21,BG31,3960.79,792.68,116.4,34,120,39,31.7,-4899,672.1,62.22,53.52904445,1.077005337,5172.02,3300,60.1,0.183045761
22,BG32,4583.29,674.11,109.7,43,119,53.1,23.7,-2608,539.81,69.05,52.9067078,1.104231861,5990.88,3900,69.75,0.254063516
23,BG33,6339.33,536.38,109.1,33,142,63.7,22.7,860,763.06,64.93,51.06439041,1.090968409,6828.11,3800,67.65,0.218054514
24,BG34,6857.5,670.17,105,32,163,52.5,24.9,-593,723.59,63.41,51.46934931,1.097049358,7663.73,3700,69.8,0.20225
25,BG41,31073.97,739.34,108.8,43,54,103.7,14.4,2714,950.81,73.71,49.67575741,1.115528497,28664.37,8400,75.85,0.36902677
26,BG42,8715.95,824.74,111.1,35,224,63.7,27.9,581,391.76,61.31,51.62512168,1.10083251,10778.85,3900,69.45,0.212946763
27,CY00,23177.86,NA,104.2,NA,238.76,95.7,NA,7806,216.92,85.5,46.49633917,1.068892513,15554.51,16300,70.7,0.42225
28,CZ01,61601.72,824.72,108.3,503,4.58,2714.3,5.1,17057,2404.34,94.68,48.77443798,1.07496291,24014.69,16900,79.25,0.433141715
29,CZ02,26752.43,499.04,116.8,120,393.2,128.5,7.5,13624,772.35,89.24,49.03553939,1.044017794,20723.46,13700,76.95,0.2185
30,CZ03,21839.53,675.31,110,98,708.66,71.8,8,5769,713.24,86.4,49.76903332,1.034389752,16513.95,12000,75.2,0.192451887
31,CZ04,16282.37,625.64,102.9,179,103.92,131.7,16.9,1229,876.58,77.09,49.38280598,1.033287167,13855.3,11000,72.2,0.144572286
32,CZ05,26104.2,635.02,113.2,147,617.44,123.7,10.5,3577,550.59,83.49,49.76347055,1.043640559,20199.28,11800,74.6,0.19
33,CZ06,32403.02,709.62,107.7,103,772.37,124,9.9,4179,703.79,82.17,49.61135688,1.04886753,23390.25,12300,74.75,0.24556139
34,CZ07,20772.66,637.95,110.1,105,367.51,133.2,11.6,142,504.2,80.85,49.92762411,1.061530151,15481,11100,73.65,0.190452387
35,CZ08,19857.55,686.9,102.2,125,188.12,226.2,13,-1385,1019.94,83.72,49.56003153,1.058403492,15041.78,10900,72.6,0.193403298
36,DE11,220990.79,NA,99.7,NA,699.16,393.3,NA,9705,1251.49,NA,49.91111512,1.015835576,98339.91,34500,79.4,0.319
37,DE12,129135.63,NA,102.8,NA,162.91,409.3,NA,16066,1512.91,NA,49.93083931,1.026033845,63237.74,31900,77.7,0.30625
38,DE13,90681.69,NA,102.8,NA,398.26,244.9,NA,3298,1443.97,NA,50.32461459,1.04378145,52256.16,31600,79.5,0.287821955
39,DE14,84683.96,NA,104.9,NA,1133.78,214.2,NA,6306,1147.1,NA,49.92037091,1.02535328,43083.87,32700,79.75,0.295426143
40,DE21,286849.73,NA,101.7,NA,2503.47,273.4,NA,12756,1110.91,NA,49.39789116,1.035906025,124419,40500,81.15,0.378905274
41,DE22,50310.3,NA,101.6,NA,1005.9,121,NA,4167,831.3,NA,50.35298033,1.004695842,27485.01,30400,79.95,0.213143428
42,DE23,48721.11,NA,101.1,NA,1187.49,115.2,NA,2738,1000.49,NA,50.1718302,1.016530838,24157.1,30300,79.15,0.244811203
43,DE24,42042.41,NA,103.5,NA,632.02,147.8,NA,2322,964.52,NA,51.39815015,1.043864168,22951.93,28500,79.8,0.244938765
44,DE25,83020.15,NA,103.9,NA,768.89,245.7,NA,6543,1324.78,NA,50.1650864,1.046042523,39793.05,31900,77.55,0.28725
45,DE26,55248.64,NA,102.2,NA,212.15,155.1,NA,3224,883.29,NA,51.00726572,1.030177023,28955.44,30100,78.8,0.269134567
46,DE27,77913.81,NA,102,NA,1994.42,191.5,NA,4785,947.73,NA,50.32235814,1.021208408,42885.69,31400,79.85,0.2595
47,DE30,157086.01,NA,104.7,736,1.02,4322.9,NA,15955,5004.74,NA,48.75306844,1.05070032,71150.95,26400,74.9,0.407546227
48,DE40,76060.67,NA,102.9,95,NA,86.7,NA,9391,1848.6,NA,53.62634315,1.04269818,49477.17,24000,78,0.272931767
49,DE50,33184.51,NA,96.9,361,27.12,1744.5,NA,3434,3917.94,NA,49.79624017,1.037589919,13544.77,26200,71.75,0.264933767
50,DE60,124832.01,NA,100.4,420,7.51,2597.5,NA,5697,4290.56,NA,48.27426205,1.061790143,42453.09,34200,76.95,0.348837209
51,DE71,212251.01,NA,100.1,NA,196.93,542.2,NA,7902,1821.36,NA,49.986772,1.046155528,91784.46,33700,76.3,0.3235
52,DE72,37393.66,NA,104.7,NA,253.55,194.9,NA,11446,1273.51,NA,50.20494603,1.040520833,21472.97,27200,73.7,0.266316579
53,DE73,46126.39,NA,102.9,NA,542.5,147.5,NA,2409,1478.17,NA,51.56514895,1.032797683,25023.29,26300,76.85,0.23944014
54,DE80,47611.41,NA,105.1,73,1486.96,71.3,NA,7320,1630.94,NA,53.31450335,1.042047395,30264.71,21600,74.9,0.246376812
55,DE91,81784.34,NA,117.8,NA,183.13,197.3,NA,12931,1776.42,NA,51.34070559,1.034063338,33212.33,28000,74.35,0.271067767
56,DE92,85698.76,NA,102.7,NA,612.2,239,NA,2894,2204.8,NA,51.24999305,1.056581069,43968.69,27500,75.2,0.264066017
57,DE93,50291.11,NA,101.2,NA,2838.67,111.4,NA,3219,1751.29,NA,51.91660731,1.044552404,36559.28,28500,77.65,0.223194201
58,DE94,93155.5,NA,101.2,NA,3608.83,169.8,NA,7328,1647.67,NA,50.39012253,1.028689608,51400.34,27000,76.35,0.2115
59,DEA1,221071.15,NA,100.5,NA,1061.79,1006.7,NA,14260,2548.52,NA,51.00009922,1.071349653,107995.6,28500,72.5,0.24756189
60,DEA2,195011.51,NA,99.1,NA,656.69,613.4,NA,8584,2601.24,NA,49.94340036,1.058509917,94356.4,29800,73.55,0.287428143
61,DEA3,91275.86,NA,102.2,NA,906.14,380.1,NA,8018,2028.68,NA,50.50770373,1.051760814,53563.27,27100,74.75,0.237690577
62,DEA4,81205.3,NA,101,NA,478.9,316.3,NA,7759,1598.09,NA,50.67964504,1.045888612,43890.2,28300,75.95,0.222555639
63,DEA5,128914.04,NA,100.7,NA,533.82,449.1,NA,16450,2299.9,NA,51.0397001,1.052611114,72662.83,26700,72.75,0.214803701
64,DEB1,51814.92,NA,102,NA,270.89,186.7,NA,1928,1387.21,NA,51.7924473,1.041139699,31570.35,27800,77.5,0.245188703
65,DEB2,16691.83,NA,102.4,NA,474.98,108.5,NA,7291,1379.84,NA,50.64469975,1.024061987,11058.82,28400,79.6,0.272431892
66,DEB3,78547.73,NA,98.3,NA,90.92,303.2,NA,3067,1752.12,NA,50.81290264,1.046524361,44159.24,29900,74.85,0.27875
67,DEC0,35860.92,NA,96.6,134,95.31,385.5,NA,4971,2365.96,NA,52.18047803,1.056215661,19353.75,25000,73.55,0.234
68,DED2,52167.21,NA,102.1,NA,804.71,205.6,NA,9020,1988.8,NA,53.28451042,1.035543025,30724.19,22300,79.4,0.29675
69,DED4,42316.09,NA,103.1,NA,599.74,219.9,NA,3056,1435.23,NA,54.95583405,1.051410239,27495.15,20800,78.85,0.2415
70,DED5,35923.62,NA,104,NA,276.14,268.4,NA,1573,3438.16,NA,51.05913697,1.050554724,19848.79,23400,77.35,0.3205
71,DEE0,64743.64,NA,103.7,119,NA,108.7,NA,10341,2368.3,NA,53.91300316,1.048496131,40798.29,20800,75.7,0.217891054
72,DEF0,99650.81,NA,102.4,83,3044.86,188.2,NA,8906,2170,NA,51.74002286,1.059456002,63162.57,28500,77.35,0.230192452
73,DEG0,63841.81,NA,102.5,101,939.87,132.4,NA,10315,1426.82,NA,53.52680337,1.034095091,40198.92,21800,77.55,0.268182954
74,DK01,126164.55,297.59,105.3,NA,79,756,14.1,-3564,6518.45,96.37,47.2597617,1.060177651,31990.05,37000,76.85,0.483
75,DK02,31036.51,275.73,103.1,NA,152,118.3,9.3,3045,3960.5,94.3,51.6084373,1.022089417,13646.28,30300,73.65,0.276819205
76,DK03,58118.97,252.61,100.4,NA,2190,102,12.3,-840,3920.38,95.4,50.45667635,1.010433972,19343.56,29000,73.85,0.302924269
77,DK04,64902.28,216.92,106.6,NA,1853,103.7,12.1,-368,3580.29,95.55,48.74932143,1.008482988,21225.69,30700,75.2,0.358231327
78,DK05,26179.69,225.31,100.5,NA,1342,76.4,13.3,88,3137.75,94.25,50.13921703,0.987395204,9348.32,28700,72.75,0.292426893
79,EE00,27951.02,NA,111.9,27,820.8,30.5,NA,6550,1037.81,88.43,49.80799576,1.162458907,16834.04,12000,74.8,0.370157461
80,EL30,87940.81,501.05,93.5,53,8.19,987.5,13.7,-7871,2242.54,NA,50.58513183,1.143586367,51226.74,13400,57.85,0.37525
81,EL41,2528.4,276.96,94.8,0,2.98,59.3,20.7,5276,290.82,NA,49.77986077,0.924836993,2405.71,9300,60.05,0.258814704
82,EL42,6355.74,228.77,87.5,0,22.15,66.1,16.9,2215,875.8,NA,49.09620656,1.020116902,5223.67,14300,60.5,0.208447888
83,EL43,9251.09,381.3,93.1,0,1.07,76.5,15.2,1825,518.79,NA,49.6694893,1.07300858,7337.7,10600,61.8,0.24443889
84,EL51,6941.79,406.06,98.1,29,104.32,42.8,24.3,2823,422.85,NA,51.21663431,1.03303785,6363.61,9000,56.45,0.22325
85,EL52,25044.75,440.38,95.3,29,312.53,101.2,20.6,3919,1526.82,NA,51.28404224,1.101871912,21504.68,10000,53.85,0.292823206
86,EL53,3907.71,426.2,83.4,9,31.93,28.8,21.6,-437,185.76,NA,52.60519587,1.050690439,3236.64,10400,50.55,0.252376188
87,EL54,3958.59,462.1,97.5,0,19.56,36.8,17.4,891,267.62,NA,53.34447936,1.060753386,3832.52,9700,55.05,0.296675831
88,EL61,9340.78,546.54,97.2,19,107.54,51.4,19,504,255.49,NA,52.39668226,1.069980817,7804.42,9200,54.8,0.2995
89,EL62,3236.15,297.28,91.5,0,0.79,89.4,13.9,595,560.17,NA,52.21730912,1.062790441,3112.25,13700,59.95,0.233058265
90,EL63,8047.95,298.41,95.8,19,17.56,59.2,23.8,-1034,1056.34,NA,51.04053188,1.045047392,6720.76,8700,49.5,0.190047512
91,EL64,8567.96,155.04,102.9,20,24.01,36.1,20.3,2754,544.1,NA,51.93692934,1.006701777,5811.71,9100,55.3,0.219804951
92,EL65,8225.72,217.69,98.7,16,6.76,37.1,19.7,2226,720.87,NA,52.91482386,1.016597108,6397.05,9700,62.15,0.227056764
93,ES11,64219.58,329.67,102.5,41,2899.76,92,20,14477,728.54,79.7,53.03927758,1.098722085,41234.02,15000,63.8,0.36525
94,ES12,23711.32,345.79,100.1,63,581.57,96.6,20.7,3614,659.93,85.11,53.72048298,1.117680362,17000.11,15100,59.4,0.41675
95,ES13,14180.48,328.34,101.2,59,457.04,110.5,17.3,2941,956.26,85.55,51.88993859,1.079492568,9438.23,16000,64.2,0.403
96,ES21,74074.58,325.71,101.6,76,186.35,303.7,10,16713,1367.21,88.12,52.06697808,1.081176398,45873.54,21600,67.35,0.486378405
97,ES22,20873.24,335.41,100.3,21,249.42,63.1,7.7,6851,1024.4,91.43,50.45708152,1.036026745,12296.2,20200,68,0.448887778
98,ES23,8821.87,323.43,99.7,22,24.24,62.6,12.3,1742,760.28,85.14,51.30279777,1.044416075,5230.87,17500,68.7,0.36725
99,ES24,38049.47,362.29,98.6,28,160.4,27.9,17.9,8737,789.04,88.57,51.48413595,1.041025717,22908.79,18100,68.65,0.376061969
100,ES30,242093.62,273.1,103.8,87,64.26,839.7,15,104311,1458.54,91.66,49.30682428,1.119625765,136460.62,23800,69.1,0.466866717
101,ES41,59798.17,349.97,100.6,27,936.4,25.6,12.9,4246,756.21,84.75,53.44022163,1.041988832,39084.29,15800,65.35,0.37
