"regionname.x","nuts2.x","year.x","total_votes","total_weighted_score","weighted_avg_left_right"
"","",2019,402834,1960831.1409,4.86759097022595
"Abroad votes","ELZZ",2019,7542,34559.816,4.58231450543622
"Abroad votes","FRZZ",2019,212438,1170871.2866,5.51159061279056
"Abroad votes","HRZZ",2019,12189,78257.3235,6.42032352941176
"Abruzzo","ITF1",2019,399390,2609448.7859,6.53358568291645
"Alentejo","PT18",2019,172314,677361.89,3.93097420987267
"Algarve","PT15",2019,84167,343529.878,4.08152694048736
"Alsace","FRF1",2019,413970,2648230.8746,6.39715649588134
"Andalucía","ES61",2019,3132178,15366813.7803,4.90611126835703
"Aquitaine","FRI1",2019,832503,5098987.5812,6.12488793577921
"Aragón","ES24",2019,505581,2540653.383,5.02521531267987
"Arnsberg","DEA5",2019,1402895,6823825.4178,4.86410274311335
"Auvergne","FRK1",2019,301870,1898223.7394,6.28821591877298
"Aνατολική Μακεδονία, Θράκη","EL51",2019,188958,953945.2336,5.04845115634162
"Aττική","EL30",2019,1182227,5594346.4794,4.73204086812431
"Basilicata","ITF5",2019,139084,876328.1723,6.30071160090305
"Basse-Normandie","FRD1",2019,354245,2278946.8202,6.43325049104433
"Bedfordshire and Hertfordshire","UKH2",2019,435886,2618020.0989,6.00620368376135
"Berkshire, Buckinghamshire and Oxfordshire","UKJ1",2019,616057,3610027.6429,5.85989225493745
"Berlin","DE30",2019,1261142,5389749.0083,4.27370510878236
"Bourgogne","FRC1",2019,372777,2457729.1818,6.59302795451436
"Brandenburg","DE40",2019,1007855,5120445.5256,5.08053790039242
"Bratislavský kraj","SK01",2019,145891,897008.4303,6.14848366451666
"Braunschweig","DE91",2019,653246,3124207.0376,4.78258885259152
"Bremen","DE50",2019,261039,1162482.1571,4.45328919088719
"Bretagne","FRH0",2019,832965,4889721.7306,5.87026073196353
"Bucureşti - Ilfov","RO32",2019,1014807,5582965.8061,5.50150502125035
"Budapest","HU11",2019,559289,3370271.1856,6.02599226088838
"Burgenland","AT11",2019,150284,834079.9057,5.55002465798089
"Calabria","ITF6",2019,470021,2988146.7746,6.35747503749832
"Campania","ITF3",2019,1262484,7618348.5483,6.0344119595179
"Canarias","ES70",2019,554438,2541275.8638,4.58351675714868
"Cantabria","ES13",2019,251073,1308067.2388,5.20990802993552
"Castilla y León","ES41",2019,1090439,5875454.3178,5.38815497042934
"Castilla-La Mancha","ES42",2019,900822,4757671.4102,5.28147781714923
"Cataluña","ES51",2019,2016701,7404215.1583,3.6714491430807
"Centre - Val de Loire","FRB0",2019,578714,3784163.2386,6.53891773587644
"Centro (PT)","PT16",2019,576419,2631922.1703,4.56598788433414
"Centru","RO12",2019,735693,4072141.8992,5.53511029627848
"Champagne-Ardenne","FRF2",2019,294736,2086958.3094,7.08077163766896
"Chemnitz","DED4",2019,608523,3503998.7647,5.75820267220795
"Cheshire","UKD6",2019,182270,1105132.7867,6.06316336588577
"Ciudad Autónoma de Ceuta","ES63",2019,27820,169888.5058,6.10670401869159
"Ciudad Autónoma de Melilla","ES64",2019,21658,133616.6733,6.16939113953274
"Comunidad Foral de Navarra","ES22",2019,267499,1187412.226,4.43894080351702
"Comunidad Valenciana","ES52",2019,1689657,8625021.8514,5.10459924789469
"Comunidad de Madrid","ES30",2019,2497970,12705610.805,5.08637445805994
"Cornwall and Isles of Scilly","UKK3",2019,162488,1008044.8631,6.20381113128354
"Corse","FRM0",2019,58635,373873.2002,6.37628038202439
"Cumbria","UKD1",2019,122078,762691.5093,6.24757539687741
"Darmstadt","DE71",2019,1411369,6777808.9647,4.80229405966831
"Derbyshire and Nottinghamshire","UKF1",2019,485956,3050355.6506,6.27702024586588
"Detmold","DEA4",2019,842497,4080913.5995,4.84383160948941
"Devon","UKK4",2019,328904,2056842.7321,6.25362638368642
"Dolnośląskie","PL51",2019,465483,3261418.6562,7.00652581555073
"Dorset and Somerset","UKK2",2019,242298,1538059.4244,6.34780074288686
"Drenthe","NL13",2019,122189,631390.9174,5.16733026213489
"Dresden","DED2",2019,698584,4041611.3044,5.7854335404189
"Dublin","",2019,272501,1118948.7335,4.10621881571077
"Dél-Alföld","HU33",2019,348211,2175701.5936,6.24822763669155
"Dél-Dunántúl","HU23",2019,257595,1587227.8912,6.16171855509618
"Düsseldorf","DEA1",2019,1971194,9509402.3439,4.82418389255446
"East Anglia","UKH1",2019,620399,3820264.7022,6.15775444866932
"East Wales","UKL2",2019,253458,1574991.0557,6.21401200869572
"East Yorkshire and Northern Lincolnshire","UKE1",2019,114638,766583.9364,6.68699677593817
"Eastern Scotland","UKM7",2019,350431,1995656.0431,5.69486159358048
"Eesti","EE00",2019,286112,1670444.9887,5.83843036538139
"Emilia-Romagna","ITH5",2019,1699932,9637433.026,5.66930502278915
"Essex","UKH3",2019,415801,2778960.4113,6.68339039901299
"Etelä-Suomi","FI1C",2019,325978,1718805.7568,5.27276612777549
"Extremadura","ES43",2019,508759,2574570.8116,5.06049192564652
"Flevoland","NL23",2019,78309,426211.2868,5.44268585730887
"Franche-Comté","FRC2",2019,267975,1726734.0848,6.44363871555182
"Freiburg","DE13",2019,874607,4331686.468,4.95272330086542
"Friesland (NL)","NL12",2019,161413,844180.294,5.22993993048887
"Friuli-Venezia Giulia","ITH4",2019,456429,2914573.3871,6.38560079902898
"Galicia","ES11",2019,1274054,6232698.6631,4.89202079590033
"Gelderland","NL22",2019,531359,2715722.18,5.1108989967235
"Gießen","DE72",2019,382066,1878234.1476,4.91599395811195
"Gloucestershire, Wiltshire and Bristol/Bath area","UKK1",2019,809010,4709858.0758,5.82175507818198
"Greater Manchester","UKD3",2019,617995,3552187.5013,5.74792271992492
"Groningen","NL11",2019,138011,651390.3902,4.71984399939135
"Guadeloupe","FRY1",2019,25023,148663.6038,5.94107835990888
"Guyane","FRY3",2019,8790,50957.521,5.79721513083049
"Hamburg","DE60",2019,697904,2966968.0905,4.25125531663381
"Hampshire and Isle of Wight","UKJ3",2019,502194,3173739.4455,6.3197478374891
"Hannover","DE92",2019,901327,4263174.8505,4.72988698940562
